type,neurons,density,hits,building_time,search_time
p0,25230,085000.0,1,6501037,293562
p2,25230,085000.0,1,10451846,317279
p3,25230,085000.0,1,7091447,329549
s,25230,086000.0,3,10928739,1283890
p0,25230,086000.0,3,6536296,309238
p2,25230,086000.0,3,10370343,326211
p3,25230,086000.0,3,7119048,333847
s,25230,087000.0,3,10969463,1264632
p0,25230,087000.0,3,6551876,302182
p2,25230,087000.0,3,10372263,323471
p3,25230,087000.0,3,7103729,334063
s,25230,088000.0,0,10962601,1290366
p0,25230,088000.0,0,6574795,276687
p2,25230,088000.0,0,10488668,301894
p3,25230,088000.0,0,7080892,305187
s,25230,089000.0,2,10964659,1276003
p0,25230,089000.0,2,6552443,296910
p2,25230,089000.0,2,10357509,318259
p3,25230,089000.0,2,7120480,325477
s,25230,090000.0,2,10952966,1222315
p0,25230,090000.0,2,6539159,290860
p2,25230,090000.0,2,10390172,313481
p3,25230,090000.0,2,7120206,326348
s,25230,091000.0,4,10990565,1252282
p0,25230,091000.0,4,6563052,305039
p2,25230,091000.0,4,10402947,323908
p3,25230,091000.0,4,7138203,333378
s,25230,092000.0,3,10955921,1274197
p0,25230,092000.0,3,6565955,298323
p2,25230,092000.0,3,10366027,323867
p3,25230,092000.0,3,7083715,331209
s,25230,093000.0,1,10955215,1246893
p0,25230,093000.0,1,6523622,301075
p2,25230,093000.0,1,10391670,322980
p3,25230,093000.0,1,7120755,332738
s,25230,094000.0,4,10952455,1285236
p0,25230,094000.0,4,6622614,298949
p2,25230,094000.0,4,10464898,317106
p3,25230,094000.0,4,7095597,324422
s,25230,095000.0,0,10984874,1262779
p0,25230,095000.0,0,6553812,308984
p2,25230,095000.0,0,10403580,321203
p3,25230,095000.0,0,7090053,326796
s,25230,096000.0,1,10918180,1234910
p0,25230,096000.0,1,6534197,298747
p2,25230,096000.0,1,10458878,321098
p3,25230,096000.0,1,7136981,335365
s,25230,097000.0,4,10957394,1239834
p0,25230,097000.0,4,6539295,300094
p2,25230,097000.0,4,10395356,326475
p3,25230,097000.0,4,7146057,335826
s,25230,098000.0,0,10915554,1250505
p0,25230,098000.0,0,6577319,296349
p2,25230,098000.0,0,10428242,315433
p3,25230,098000.0,0,7122990,328006
s,25230,099000.0,3,10912703,1254712
p0,25230,099000.0,3,6572963,306447
p2,25230,099000.0,3,10397315,327837
